C,Mn,Si,Ni,Cr,Mo,V,P,S,Austenitizing_Temp_C,Tempering_Temp_C,Tempering_Time_Hours,Hardness_HRC
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,900.2107585880589,371.1,1.0,39.4
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,899.2834815220536,426.7,1.0,34.0
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,893.396390048163,482.2,1.0,29.0
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,897.1897789580265,537.8,1.0,22.4
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,898.4858061452012,648.9,1.0,11.7
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,906.0746111310947,704.4,1.0,10.2
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,902.5070914478424,204.4,4.0,48.3
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,891.9737992231865,260.0,4.0,44.9
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,902.4094198469741,315.6,4.0,40.9
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,898.8635885979185,371.1,4.0,37.3
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,897.4043899984703,426.7,4.0,31.3
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,903.8473814442044,482.2,4.0,25.6
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,905.9439976124798,537.8,4.0,20.9
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,905.4454005955811,593.3,4.0,10.9
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,896.5929123838869,648.9,4.0,8.6
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,899.242938120744,704.4,4.0,7.3
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,899.3153171570178,204.4,0.16666666666666666,52.3
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,902.5367256356118,260.0,0.16666666666666666,50.4
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,895.2631288107735,315.6,0.16666666666666666,46.8
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,896.730705116681,371.1,0.16666666666666666,44.3
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,892.1273251299699,426.7,0.16666666666666666,38.6
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,891.6779668795966,482.2,0.16666666666666666,33.4
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,901.721629111971,537.8,0.16666666666666666,28.4
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,904.4402001428541,593.3,0.16666666666666666,25.5
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,897.2989493920983,648.9,0.16666666666666666,20.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,902.6766644894601,704.4,0.16666666666666666,15.0
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,899.4671801252382,204.4,1.0,51.5
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,894.4334012269744,260.0,1.0,48.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,899.4659780275421,315.6,1.0,46.4
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,905.3491828323298,371.1,1.0,41.7
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,897.4798698044502,426.7,1.0,36.1
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,905.48221827907,482.2,1.0,30.7
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,884.5602744795513,537.8,1.0,26.1
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,901.7685125218761,593.3,1.0,21.2
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,898.0942353411908,648.9,1.0,16.5
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,896.1639632476706,704.4,1.0,12.4
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,898.1178038826775,204.4,4.0,50.0
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,887.7211554269956,260.0,4.0,48.3
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,896.5606405608124,315.6,4.0,44.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,899.4445628575587,371.1,4.0,39.2
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,905.0484702237076,426.7,4.0,33.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,895.0676489086318,482.2,4.0,28.8
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,893.616531985534,537.8,4.0,23.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,895.1502147820773,593.3,4.0,18.9
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,902.2360105885103,648.9,4.0,13.1
0.36,0.74,0.24,0.02,0.02,0.01,0.0,0.019,0.03,899.3027555482984,704.4,4.0,8.6
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,886.2271989811649,204.4,1.0,51.5
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,891.4423371655669,260.0,1.0,49.0
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,889.3613877467403,315.6,1.0,46.0
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,893.7192249526645,371.1,1.0,41.5
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,885.3657345306133,426.7,1.0,37.0
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,887.2376892670112,482.2,1.0,32.5
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,886.9154592343393,537.8,1.0,28.0
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,881.5584252593395,593.3,1.0,22.2
0.39,0.75,0.18,0.0,0.0,0.0,0.0,0.048,0.043,890.356601385323,648.9,1.0,18.2
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,892.1852763608995,204.4,0.16666666666666666,53.2
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,890.9055672832123,260.0,0.16666666666666666,51.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,889.7070643331242,315.6,0.16666666666666666,48.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,883.8031462897479,371.1,0.16666666666666666,44.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,888.7767733861732,426.7,0.16666666666666666,40.0
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,889.1664274173661,482.2,0.16666666666666666,35.1
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,886.8686136538919,537.8,0.16666666666666666,30.7
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,890.07357144167,593.3,0.16666666666666666,27.7
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,892.9002542840727,648.9,0.16666666666666666,24.1
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,900.3109295060526,704.4,0.16666666666666666,20.0
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,891.7528890641591,204.4,1.0,52.6
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,892.1677519536138,260.0,1.0,50.4
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,890.5077704211692,315.6,1.0,47.6
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,881.2861439235048,371.1,1.0,42.8
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,890.7474306227539,426.7,1.0,37.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,891.1811510497051,482.2,1.0,33.0
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,903.1962105624265,537.8,1.0,28.3
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,889.9181951760944,593.3,1.0,24.6
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,892.387736711668,648.9,1.0,20.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,890.7064411514738,704.4,1.0,16.3
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,885.0366098119023,204.4,4.0,51.0
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,896.594114072575,260.0,4.0,49.5
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,894.6396651634338,315.6,4.0,46.5
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,894.8351597352153,371.1,4.0,41.2
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,886.3330627260264,426.7,4.0,35.4
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,897.8939715546805,482.2,4.0,30.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,883.8707446860386,537.8,4.0,26.5
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,893.8142854690013,593.3,4.0,22.9
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,901.8322781290499,648.9,4.0,17.3
0.4,0.6,0.27,0.02,0.07,0.01,0.0,0.01,0.013,885.9273183743466,704.4,4.0,12.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,878.5875113519861,204.4,0.16666666666666666,55.2
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,881.9172568254382,260.0,0.16666666666666666,53.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,878.9016217294189,315.6,0.16666666666666666,50.0
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,873.6656828446693,371.1,0.16666666666666666,46.5
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,881.7618148740302,426.7,0.16666666666666666,42.0
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,876.1074814313695,482.2,0.16666666666666666,36.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,883.7869621531759,537.8,0.16666666666666666,32.1
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,876.821878828831,593.3,0.16666666666666666,28.4
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,889.1686720250876,648.9,0.16666666666666666,23.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,877.5027335383188,704.4,0.16666666666666666,17.9
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,879.8086924189716,204.4,1.0,54.5
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,885.4865860868483,260.0,1.0,51.9
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,875.2646784178302,315.6,1.0,48.9
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.5562996730206,371.1,1.0,44.7
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,887.9547137714121,426.7,1.0,39.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,873.3815838271938,482.2,1.0,34.2
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.3421692926615,537.8,1.0,29.5
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.7184139712421,593.3,1.0,24.7
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,885.3281143588865,648.9,1.0,19.2
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,875.2342464456095,704.4,1.0,13.5
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,874.8167169345786,204.4,4.0,53.2
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,884.0287078280845,260.0,4.0,50.6
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.9039233661659,315.6,4.0,48.0
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.6714642517294,371.1,4.0,42.8
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,883.1512410474849,426.7,4.0,37.3
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,878.0188763921075,482.2,4.0,32.3
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.580268485805,537.8,4.0,26.5
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,882.8843623664934,593.3,4.0,22.1
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,877.8472429098681,648.9,4.0,15.9
0.44,0.79,0.24,0.02,0.02,0.01,0.0,0.02,0.03,890.7478725557238,704.4,4.0,9.7
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,878.781164604559,204.4,0.16666666666666666,56.9
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,870.4554825139868,260.0,0.16666666666666666,54.9
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,879.6947680431692,315.6,0.16666666666666666,51.2
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,871.5385916488634,371.1,0.16666666666666666,48.0
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,880.3474230187123,426.7,0.16666666666666666,43.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,882.204977895037,482.2,0.16666666666666666,38.0
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,872.3085884082415,537.8,0.16666666666666666,33.4
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,881.2288806462217,593.3,0.16666666666666666,29.1
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,878.4759046346825,648.9,0.16666666666666666,24.2
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,880.5223007999725,704.4,0.16666666666666666,18.5
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,885.8959649132697,204.4,1.0,56.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,875.1850594199857,260.0,1.0,53.2
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,872.6433191782126,315.6,1.0,50.2
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,871.9644278518724,371.1,1.0,45.9
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,872.3329485751728,426.7,1.0,40.7
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,876.0264914529295,482.2,1.0,35.6
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,878.1177598740833,537.8,1.0,30.4
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,877.7954539966502,593.3,1.0,25.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,880.5479162451802,648.9,1.0,20.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,876.4770094593896,704.4,1.0,14.2
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,883.6796703857866,204.4,4.0,54.5
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,875.0887158338103,260.0,4.0,52.6
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,890.0128458329481,315.6,4.0,49.1
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,879.5403367388251,371.1,4.0,44.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,872.1262122179186,426.7,4.0,38.4
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,871.0575375096945,482.2,4.0,33.3
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,878.824362076216,537.8,4.0,27.8
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,875.2946860733708,593.3,4.0,22.4
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,879.9820024704605,648.9,4.0,17.5
0.45,0.73,0.17,0.01,0.02,0.01,0.0,0.017,0.03,878.7781881228677,704.4,4.0,10.9
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,868.4538554367156,204.4,1.0,55.0
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,864.584031409658,260.0,1.0,52.0
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,861.2437638765707,315.6,1.0,49.0
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,866.5854252396649,371.1,1.0,44.0
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,873.0999939716173,426.7,1.0,40.0
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,869.888468720651,482.2,1.0,35.5
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,862.5893061064401,537.8,1.0,30.5
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,869.683904629256,593.3,1.0,24.5
0.48,0.76,0.14,0.0,0.0,0.0,0.0,0.046,0.048,870.7445868986441,648.9,1.0,19.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,859.8917128189944,204.4,0.16666666666666666,57.1
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,865.0796255297277,315.6,0.16666666666666666,51.3
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,864.6020435922301,426.7,0.16666666666666666,45.8
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,858.5961485108469,537.8,0.16666666666666666,36.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,866.0999368017415,204.4,1.0,56.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,867.1149226318412,260.0,1.0,54.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,869.7262562158764,315.6,1.0,50.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,869.5800102601745,371.1,1.0,46.5
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,857.4226531602146,426.7,1.0,41.0
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,859.6218748004244,482.2,1.0,37.7
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,866.8861763360434,537.8,1.0,32.6
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,866.8799297545611,593.3,1.0,27.2
0.5,0.91,0.13,0.0,0.0,0.0,0.0,0.046,0.041,866.8862384315303,648.9,1.0,18.5
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,858.6686574532737,204.4,1.0,58.3
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,842.259452553466,260.0,1.0,55.9
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,845.0828282009031,315.6,1.0,52.4
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,844.175008817466,371.1,1.0,49.5
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,842.661956256529,426.7,1.0,44.8
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,837.8286537767983,482.2,1.0,39.7
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,843.1998461024664,537.8,1.0,34.5
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,835.5408739273122,593.3,1.0,29.7
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,838.2209069663,648.9,1.0,23.4
0.63,0.87,0.17,0.02,0.04,0.0,0.0,0.023,0.018,836.9781822608546,704.4,1.0,16.7
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,836.9523706969317,204.4,1.0,59.2
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,848.1162928333675,260.0,1.0,56.5
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,827.2066740370412,315.6,1.0,53.5
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,839.9743009518726,371.1,1.0,50.0
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,828.4794206440517,426.7,1.0,45.0
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,834.1833406710529,482.2,1.0,41.5
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,841.9877529848368,537.8,1.0,36.5
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,836.8644000954773,593.3,1.0,31.2
0.65,0.87,0.19,0.0,0.0,0.0,0.0,0.04,0.042,831.1542761103535,648.9,1.0,25.8
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,803.3734814537,204.4,0.16666666666666666,62.7
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,810.3479887446733,315.6,0.16666666666666666,57.6
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,803.2981668414143,426.7,0.16666666666666666,50.0
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,808.0322929479098,537.8,0.16666666666666666,42.0
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,807.177859199519,204.4,1.0,61.3
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,803.6919982619709,260.0,1.0,59.5
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,817.6697204466266,315.6,1.0,56.7
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,810.11959511159,371.1,1.0,51.0
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,796.8242870667119,426.7,1.0,47.0
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,807.8822715738471,482.2,1.0,43.2
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,803.641067676158,537.8,1.0,38.8
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,811.2121666739811,593.3,1.0,32.5
0.82,0.75,0.3,0.0,0.0,0.0,0.0,0.054,0.055,802.9873963078364,648.9,1.0,27.0
